iShares S&P 100 ETF
Fund Holdings as of,"Mar 31, 2020"
Inception Date,"Oct 23, 2000"
Shares Outstanding,"40,500,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Asset Class,Weight (%),Price,Shares,Market Value,Notional Value,Sector,SEDOL,ISIN,Exchange
"BKNG","BOOKING HOLDINGS INC","Equity","0.40","1,345.32","14,387.00","19,355,118.84","19,355,118.84","Consumer Discretionary","BDRXDB4","US09857L1089","NASDAQ"
"BLK","BLACKROCK INC","Equity","0.37","439.97","40,489.00","17,813,945.33","17,813,945.33","Financials","2494504","US09247X1019","New York Stock Exchange Inc."
"GS","GOLDMAN SACHS GROUP INC","Equity","0.35","154.59","109,443.00","16,918,793.37","16,918,793.37","Financials","2407966","US38141G1040","New York Stock Exchange Inc."
"USB","US BANCORP","Equity","0.35","34.45","488,078.00","16,814,287.10","16,814,287.10","Financials","2736035","US9029733048","New York Stock Exchange Inc."
"TGT","TARGET CORP","Equity","0.33","92.97","174,006.00","16,177,337.82","16,177,337.82","Consumer Discretionary","2259101","US87612E1064","New York Stock Exchange Inc."
"MS","MORGAN STANLEY","Equity","0.28","34.00","400,002.00","13,600,068.00","13,600,068.00","Financials","2262314","US6174464486","New York Stock Exchange Inc."
"RTN","RAYTHEON","Equity","0.26","131.15","95,635.00","12,542,530.25","12,542,530.25","Industrials","2758051","US7551115071","New York Stock Exchange Inc."
"EXC","EXELON CORP","Equity","0.25","36.81","333,838.00","12,288,576.78","12,288,576.78","Utilities","2670519","US30161N1019","NASDAQ"
"WBA","WALGREEN BOOTS ALLIANCE INC","Equity","0.24","45.75","257,452.00","11,778,429.00","11,778,429.00","Consumer Staples","BTN1Y44","US9314271084","NASDAQ"
"COP","CONOCOPHILLIPS","Equity","0.24","30.80","376,807.00","11,605,655.60","11,605,655.60","Energy","2685717","US20825C1045","New York Stock Exchange Inc."
"GD","GENERAL DYNAMICS CORP","Equity","0.22","132.31","80,467.00","10,646,588.77","10,646,588.77","Industrials","2365161","US3695501086","New York Stock Exchange Inc."
"ALL","ALLSTATE CORP","Equity","0.21","91.73","111,255.00","10,205,421.15","10,205,421.15","Financials","2019952","US0200021014","New York Stock Exchange Inc."
"FDX","FEDEX CORP","Equity","0.21","121.26","82,438.00","9,996,431.88","9,996,431.88","Industrials","2142784","US31428X1063","New York Stock Exchange Inc."
"EMR","EMERSON ELECTRIC","Equity","0.21","47.65","209,177.00","9,967,284.05","9,967,284.05","Industrials","2313405","US2910111044","New York Stock Exchange Inc."
"BK","BANK OF NEW YORK MELLON CORP","Equity","0.20","33.68","288,190.00","9,706,239.20","9,706,239.20","Financials","B1Z77F6","US0640581007","New York Stock Exchange Inc."
"KMI","KINDER MORGAN INC","Equity","0.19","13.92","668,919.00","9,311,352.48","9,311,352.48","Energy","B3NQ4P8","US49456B1017","New York Stock Exchange Inc."
"GM","GENERAL MOTORS","Equity","0.19","20.78","431,767.00","8,972,118.26","8,972,118.26","Consumer Discretionary","B665KZ5","US37045V1008","New York Stock Exchange Inc."
"XTSLA","BLK CSH FND TREASURY SL AGENCY","Money Market","0.18","1.00","8,783,000.00","8,783,000.00","8,783,000.00","Cash and/or Derivatives","-","US0669224778","-"
"DD","DUPONT DE NEMOURS INC","Equity","0.18","34.10","254,405.00","8,675,210.50","8,675,210.50","Materials","BK0VN47","US26614N1028","New York Stock Exchange Inc."
"MET","METLIFE INC","Equity","0.17","30.57","268,246.00","8,200,280.22","8,200,280.22","Financials","2573209","US59156R1086","New York Stock Exchange Inc."
"COF","CAPITAL ONE FINANCIAL CORP","Equity","0.17","50.42","159,880.00","8,061,149.60","8,061,149.60","Financials","2654461","US14040H1059","New York Stock Exchange Inc."
"DOW","DOW INC","Equity","0.15","29.24","254,569.00","7,443,597.56","7,443,597.56","Materials","BHXCF84","US2605571031","New York Stock Exchange Inc."
"AIG","AMERICAN INTERNATIONAL GROUP INC","Equity","0.15","24.25","298,322.00","7,234,308.50","7,234,308.50","Financials","2027342","US0268747849","New York Stock Exchange Inc."
"F","FORD MOTOR CO","Equity","0.13","4.83","1,334,651.00","6,446,364.33","6,446,364.33","Consumer Discretionary","2615468","US3453708600","New York Stock Exchange Inc."
"SLB","SCHLUMBERGER NV","Equity","0.13","13.49","474,940.00","6,406,940.60","6,406,940.60","Energy","2779201","AN8068571086","New York Stock Exchange Inc."
"SPG","SIMON PROPERTY GROUP REIT INC","Equity","0.12","54.86","105,145.00","5,768,254.70","5,768,254.70","Real Estate","2812452","US8288061091","New York Stock Exchange Inc."
"KHC","KRAFT HEINZ","Equity","0.11","24.74","215,161.00","5,323,083.14","5,323,083.14","Consumer Staples","BYRY499","US5007541064","NASDAQ"
"OXY","OCCIDENTAL PETROLEUM CORP","Equity","0.07","11.58","308,627.00","3,573,900.66","3,573,900.66","Energy","2655408","US6745991058","New York Stock Exchange Inc."
"MSFUT","CASH COLLATERAL MSFUT USD","Cash Collateral and Margins","0.03","100.00","1,385,640.00","1,385,640.00","1,385,640.00","Cash and/or Derivatives","-","-","-"
"ESM0","S&P500 EMINI JUN 20","Futures","0.00","2,569.70","106.00","0.00","13,619,410.00","Cash and/or Derivatives","-","-","Index And Options Market"
"USD","USD CASH","Cash","-0.39","100.00","-19,007,328.00","-19,007,327.90","-19,007,327.90","Cash and/or Derivatives","-","-","-"
 
